tensor,expert,source,target,saved_mb,snr_db,freq,class,quality_risk,crush_score
blk.0.ffn_down_exps.weight,237,Q3_K,Q2_K,0.106,77.64,1,COLD,0.02252,4.707542
blk.7.ffn_up_exps.weight,42,IQ3_S,Q2_K,0.106,77.4,0,COLD,0.0226,4.69089
blk.12.ffn_up_exps.weight,209,IQ3_S,Q2_K,0.106,77.39,0,COLD,0.02261,4.688815
blk.7.ffn_gate_exps.weight,42,IQ3_S,Q2_K,0.106,77.38,0,COLD,0.02262,4.686743
blk.12.ffn_gate_exps.weight,209,IQ3_S,Q2_K,0.106,77.37,0,COLD,0.02263,4.684672
blk.15.ffn_up_exps.weight,38,IQ3_S,Q2_K,0.106,77.37,0,COLD,0.02263,4.684672
blk.25.ffn_up_exps.weight,153,IQ3_S,Q2_K,0.106,77.37,0,COLD,0.02263,4.684672
blk.7.ffn_up_exps.weight,53,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.11.ffn_up_exps.weight,200,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.12.ffn_up_exps.weight,94,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.13.ffn_up_exps.weight,4,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.13.ffn_up_exps.weight,56,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.16.ffn_gate_exps.weight,206,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.16.ffn_gate_exps.weight,241,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.16.ffn_up_exps.weight,241,IQ3_S,Q2_K,0.106,77.36,0,COLD,0.02264,4.682602
blk.6.ffn_gate_exps.weight,170,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.6.ffn_up_exps.weight,170,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.9.ffn_up_exps.weight,83,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.10.ffn_up_exps.weight,156,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.10.ffn_up_exps.weight,168,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.11.ffn_gate_exps.weight,200,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.12.ffn_gate_exps.weight,94,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.13.ffn_gate_exps.weight,4,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.16.ffn_up_exps.weight,206,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.39.ffn_up_exps.weight,28,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.39.ffn_up_exps.weight,33,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.39.ffn_up_exps.weight,131,IQ3_S,Q2_K,0.106,77.35,0,COLD,0.02265,4.680535
blk.6.ffn_gate_exps.weight,88,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.6.ffn_up_exps.weight,88,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.11.ffn_up_exps.weight,251,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.12.ffn_gate_exps.weight,103,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.12.ffn_up_exps.weight,22,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.12.ffn_up_exps.weight,103,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.13.ffn_gate_exps.weight,56,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.14.ffn_up_exps.weight,10,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.15.ffn_gate_exps.weight,38,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.20.ffn_gate_exps.weight,101,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.20.ffn_up_exps.weight,101,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.28.ffn_up_exps.weight,90,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.37.ffn_up_exps.weight,6,IQ3_S,Q2_K,0.106,77.34,0,COLD,0.02266,4.678469
blk.6.ffn_up_exps.weight,83,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.7.ffn_gate_exps.weight,53,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.9.ffn_gate_exps.weight,83,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.10.ffn_gate_exps.weight,156,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.10.ffn_gate_exps.weight,168,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.11.ffn_gate_exps.weight,55,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.11.ffn_up_exps.weight,55,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.13.ffn_up_exps.weight,95,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.14.ffn_gate_exps.weight,10,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.17.ffn_gate_exps.weight,205,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.17.ffn_up_exps.weight,205,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.21.ffn_up_exps.weight,89,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.22.ffn_up_exps.weight,168,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.25.ffn_gate_exps.weight,153,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.37.ffn_up_exps.weight,45,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.39.ffn_up_exps.weight,43,IQ3_S,Q2_K,0.106,77.33,0,COLD,0.02267,4.676406
blk.6.ffn_gate_exps.weight,83,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.13.ffn_up_exps.weight,169,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.28.ffn_gate_exps.weight,90,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.29.ffn_up_exps.weight,205,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.37.ffn_gate_exps.weight,6,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.39.ffn_gate_exps.weight,33,IQ3_S,Q2_K,0.106,77.32,0,COLD,0.02268,4.674344
blk.6.ffn_up_exps.weight,141,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.9.ffn_up_exps.weight,6,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.11.ffn_gate_exps.weight,251,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.12.ffn_up_exps.weight,54,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.13.ffn_up_exps.weight,30,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.22.ffn_gate_exps.weight,168,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.27.ffn_gate_exps.weight,84,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.27.ffn_up_exps.weight,84,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.28.ffn_up_exps.weight,49,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.29.ffn_gate_exps.weight,205,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.35.ffn_up_exps.weight,199,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.36.ffn_up_exps.weight,226,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.37.ffn_gate_exps.weight,45,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.38.ffn_up_exps.weight,8,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.38.ffn_up_exps.weight,85,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.39.ffn_gate_exps.weight,131,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.39.ffn_up_exps.weight,67,IQ3_S,Q2_K,0.106,77.31,0,COLD,0.02269,4.672284
blk.6.ffn_gate_exps.weight,141,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.7.ffn_up_exps.weight,168,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.9.ffn_gate_exps.weight,6,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.10.ffn_up_exps.weight,201,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.11.ffn_up_exps.weight,252,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.12.ffn_gate_exps.weight,22,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.12.ffn_gate_exps.weight,54,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.13.ffn_gate_exps.weight,30,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.13.ffn_gate_exps.weight,169,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.24.ffn_gate_exps.weight,234,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
blk.24.ffn_up_exps.weight,234,IQ3_S,Q2_K,0.106,77.3,0,COLD,0.0227,4.670225
